CountyFIPS,NAICS,Employment
1041,22,0
1041,23,88
1041,31,1185
1041,42,277
1041,44,252
1041,48,39
1041,51,15
1041,52,105
1041,53,9
1041,54,31
1041,56,12
1041,61,0
1041,62,0
1041,71,0
1041,72,0
1041,81,223
1041,92,273
1043,11,0
1043,21,0
1043,22,161
1043,23,1434
1043,31,5780
1043,42,1007
1043,44,3913
1043,48,2565
1043,51,171
1043,52,732
1043,53,188
1043,54,569
1043,55,189
1043,56,1120
1043,61,115
1043,62,4957
1043,71,311
1043,72,2915
1043,81,564
1043,92,1521
1045,11,0
1045,21,0
1045,22,173
1045,23,539
1045,31,4116
1045,42,126
1045,44,1555
1045,48,1558
1045,51,29
1045,52,271
1045,53,152
1045,54,675
1045,55,462
1045,56,694
1045,61,1707
1045,62,1748
1045,71,214
1045,72,1313
1045,81,216
1045,92,2402
1047,11,0
1047,21,0
1047,22,82
1047,23,484
1047,31,2937
1047,42,269
1047,44,1455
1047,48,191
1047,51,101
1047,52,273
1047,53,127
1047,54,236
1047,55,50
1047,56,494
1047,61,2080
1047,62,2435
1047,71,114
1047,72,917
1047,81,500
1047,92,439
1049,11,670
1049,21,17
1049,22,0
1049,23,655
1049,31,6582
1049,42,0
1049,44,2347
1049,48,1545
1049,51,189
1049,52,429
1049,53,140
1049,54,388
1049,55,36
1049,56,1270
1049,61,194
1049,62,3179
1049,71,46
1049,72,1975
1049,81,263
1049,92,1138
1051,11,0
1051,21,0
1051,22,161
1051,23,932
1051,31,2448
1051,42,244
1051,44,3823
1051,48,364
1051,51,129
1051,52,457
1051,53,179
1051,54,534
1051,55,41
1051,56,407
1051,61,917
1051,62,2517
1051,71,385
1051,72,3058
1051,81,482
1051,92,1509
1053,11,348
1053,21,271
1053,22,115
1053,23,485
1053,31,2100
1053,42,330
1053,44,1611
1053,48,326
1053,51,48
1053,52,444
1053,53,75
1053,54,0
1053,55,0
1053,56,395
1053,61,1785
1053,62,1540
1053,71,99
1053,72,1209
1053,81,184
1053,92,1774
1055,11,0
1055,21,0
1055,22,187
1055,23,991
1055,31,5395
1055,42,1173
1055,44,4660
1055,48,1183
1055,51,345
1055,52,1043
1055,53,283
1055,54,712
1055,55,90
1055,56,3319
1055,61,0
1055,62,35
1055,71,394
1055,72,3796
1055,81,782
1055,92,2132
1057,11,310
1057,21,30
1057,22,0
1057,23,97
1057,31,941
1057,42,0
1057,44,526
1057,48,134
1057,51,25
1057,52,107
1057,53,8
1057,54,30
1057,55,0
1057,56,0
1057,61,0
1057,62,0
1057,71,0
1057,72,0
1057,81,75
1057,92,203
1059,11,149
1059,21,91
1059,22,6
1059,23,235
1059,31,5089
1059,42,0
1059,44,997
1059,48,299
1059,51,31
1059,52,401
1059,53,42
1059,54,146
1059,55,52
1059,56,134
1059,61,0
1059,62,0
1059,71,17
1059,72,751
1059,81,134
1059,92,629
1061,11,0
1061,21,0
1061,22,29
1061,23,148
1061,31,716
1061,42,381
1061,44,784
1061,48,57
1061,51,0
1061,52,194
1061,53,40
1061,54,100
1061,55,0
1061,56,0
1061,61,1050
1061,62,770
1061,71,0
1061,72,0
1061,81,0
1061,92,508
1063,11,74
1063,22,0
1063,23,38
1063,31,515
1063,42,0
1063,44,179
1063,48,39
1063,51,0
1063,52,0
1063,53,0
1063,54,0
1063,56,0
1063,61,0
1063,62,0
1063,71,208
1063,72,67
1063,81,37
1063,92,201
1065,11,0
1065,21,0
1065,22,27
1065,23,150
1065,31,494
1065,42,25
1065,44,270
1065,48,70
1065,51,0
1065,52,71
1065,53,8
1065,54,26
1065,56,0
1065,61,837
1065,62,516
1065,71,0
1065,72,0
1065,81,45
1065,92,276
1067,11,586
1067,22,62
1067,23,188
1067,31,387
1067,42,116
1067,44,295
1067,48,324
1067,51,0
1067,52,102
1067,53,11
1067,54,220
1067,55,36
1067,56,124
1067,61,591
1067,62,19
1067,71,0
1067,72,0
1067,81,0
1067,92,328
1069,11,0
1069,21,0
1069,22,0
1069,23,2227
1069,31,4311
1069,42,2786
1069,44,7952
1069,48,176
1069,51,532
1069,52,1270
1069,53,425
1069,54,1293
1069,55,130
1069,56,3027
1069,61,838
1069,62,9391
1069,71,616
1069,72,5613
1069,81,1268
1069,92,2524
1071,11,85
1071,21,22
1071,22,59
1071,23,567
1071,31,5352
1071,42,519
1071,44,2323
1071,48,94
1071,51,100
1071,52,383
1071,53,117
1071,54,226
1071,55,55
1071,56,209
1071,61,2639
1071,62,854
1071,71,32
1071,72,1359
1071,81,200
1071,92,836
1073,11,136
1073,21,2214
1073,22,7487
1073,23,18979
1073,31,24050
1073,42,19224
1073,44,37065
1073,48,17686
1073,51,6319
1073,52,22831
1073,53,5629
1073,54,21205
1073,55,6539
1073,56,25130
1073,61,34876
1073,62,68179
1073,71,6115
1073,72,32866
1073,81,10666
1073,92,17929
1075,11,0
1075,21,0
1075,22,0
1075,23,79
1075,31,1225
1075,42,0
1075,44,313
1075,48,264
1075,51,16
1075,52,108
1075,53,7
1075,54,37
1075,56,258
1075,61,489
1075,62,482
1075,71,0
1075,72,26
1075,81,41
1075,92,150
1077,11,0
1077,21,0
1077,22,8
1077,23,1671
1077,31,2756
1077,42,1400
1077,44,5140
1077,48,175
1077,51,319
1077,52,1011
1077,53,444
1077,54,869
1077,55,169
1077,56,1177
1077,61,4282
1077,62,5905
