Origin,Destination,Time
3,86,0.733
3,87,0.934
3,88,0.798
3,89,0.994
3,90,0.924
3,91,0.898
3,92,1.123
3,93,1.138
3,94,1.077
3,95,0.979
3,96,1.265
3,97,1.27
3,98,1.359
3,99,1.173
3,100,1.238
3,101,1.338
3,102,1.388
3,103,1.53
3,104,1.396
3,105,1.351
3,106,1.508
3,107,1.418
3,108,1.553
3,109,1.643
3,110,1.354
3,111,1.21
3,112,1.007
3,113,1.306
3,114,1.241
3,115,1.121
3,116,1.523
3,117,1.374
3,118,1.239
3,119,1.621
3,120,1.284
3,121,1.301
3,122,1.595
3,123,1.672
3,124,1.629
3,125,1.771
3,126,2.001
3,127,1.438
3,128,1.642
3,129,2.011
3,130,0.807
3,131,1.051
3,132,1.296
4,1,0.493
4,2,0.322
4,3,0.142
4,4,0.067
4,5,0.114
4,6,0.57
4,7,0.418
4,8,0.311
4,9,0.223
4,10,0.213
4,11,0.302
4,12,0.309
4,13,0.349
4,14,0.404
4,15,0.504
4,16,0.478
4,17,0.553
4,18,0.58
4,19,0.624
4,20,0.672
4,21,0.824
4,22,0.716
4,23,0.748
4,24,0.859
4,25,0.849
4,26,0.872
4,27,0.987
4,28,1.008
4,29,1.151
4,30,1.29
4,31,1.192
4,32,1.104
4,33,0.894
4,34,1.236
4,35,1.04
4,36,0.927
4,37,0.813
4,38,1.072
4,39,0.96
4,40,0.816
4,41,0.695
4,42,1.164
4,43,1.015
4,44,0.854
4,45,0.665
4,46,0.933
4,47,0.78
4,48,0.674
4,49,0.688
4,50,0.698
4,51,0.606
4,52,0.525
4,53,0.581
4,54,0.548
4,55,0.472
4,56,0.366
4,57,0.358
4,58,0.438
4,59,0.386
4,60,0.247
4,61,0.242
4,62,0.958
4,63,0.826
4,64,0.673
4,65,1.059
4,66,1.002
4,67,0.764
4,68,1.147
4,69,0.992
4,70,0.918
4,71,1.225
4,72,1.152
4,73,0.927
4,74,1.245
4,75,1.275
4,76,1.006
4,77,0.677
4,78,0.553
4,79,0.423
4,80,0.812
4,81,0.664
4,82,0.541
4,83,0.875
4,84,0.761
4,85,0.728
4,86,0.8
4,87,1.01
4,88,0.865
4,89,1.061
4,90,0.991
4,91,0.968
4,92,1.19
4,93,1.205
4,94,1.136
4,95,0.983
4,96,1.332
4,97,1.336
4,98,1.425
4,99,1.177
4,100,1.184
4,101,1.284
4,102,1.455
4,103,1.534
4,104,1.4
4,105,1.355
4,106,1.454
4,107,1.364
4,108,1.62
4,109,1.709
4,110,1.433
4,111,1.289
4,112,1.083
4,113,1.381
4,114,1.317
4,115,1.187
4,116,1.598
4,117,1.449
4,118,1.306
4,119,1.687
4,120,1.425
4,121,1.44
4,122,1.599
4,123,1.813
4,124,1.77
4,125,1.854
4,126,2.076
4,127,1.384
4,128,1.588
4,129,1.958
4,130,0.884
4,131,1.129
4,132,1.437
5,1,0.595
5,2,0.424
5,3,0.243
5,4,0.114
5,5,0.044
5,6,0.66
5,7,0.509
5,8,0.402
5,9,0.259
5,10,0.174
5,11,0.262
5,12,0.392
5,13,0.382
5,14,0.393
5,15,0.557
5,16,0.51
5,17,0.554
5,18,0.672
5,19,0.657
5,20,0.672
5,21,0.899
5,22,0.776
5,23,0.78
5,24,0.86
5,25,0.91
5,26,0.904
5,27,0.978
5,28,1.04
5,29,1.15
5,30,1.392
5,31,1.293
5,32,1.206
5,33,0.996
5,34,1.337
5,35,1.142
5,36,1.028
5,37,0.915
5,38,1.173
5,39,1.061
5,40,0.917
5,41,0.797
5,42,1.265
