SCTG,Mode.Domestic,ODSegment,Tons,Target
20,Water,I,15460686.7,0.128796403079838
20,Pipeline,I,19821031.4,0.165120579647508
20,Truck,X,98293525.1,0.477831073279651
20,Rail,X,76281948.3,0.370826920603052
20,Water,X,26776744.8,0.130168906789154
20,Air,X,86791.5,0.000421916657830301
20,Pipeline,X,4268677.8,0.0207511826703122
21,Truck,I,4282173.5,0.891208478433275
21,Rail,I,522683,0.10878109472513
21,Air,I,50.1,1.04268415956306e-05
21,Truck,X,9747354.4,0.86620555731485
21,Rail,X,1444347.9,0.128352999833066
21,Water,X,1571.3,0.000139634688178448
21,Air,X,59660.9,0.00530180816390605
22,Truck,I,71579367,0.72685157187485
22,Rail,I,25433659,0.25826569579302
22,Water,I,1136598.5,0.0115415718375324
22,Pipeline,I,329033,0.00334116049459752
22,Truck,X,49269258.8,0.532384263587455
22,Rail,X,35324597.2,0.381703726114213
22,Water,X,6260843.8,0.0676522196006546
22,Pipeline,X,1689844,0.018259790697677
23,Truck,I,28532747.4,0.967085094680293
23,Rail,I,797601.5,0.027033797738827
23,Pipeline,I,173515.4,0.00588110758088051
23,Truck,X,66960107.4,0.884164805261317
23,Rail,X,8713932.6,0.115061830386778
23,Water,X,28740.4,0.000379498348432045
23,Air,X,29828.5,0.000393866003472647
24,Truck,I,41050934,0.760946584372293
24,Rail,I,12896072.6,0.239049917762824
24,Water,I,188.7,3.49786488344094e-06
24,Truck,X,85794480.3,0.661818777790743
24,Rail,X,43766964.5,0.337618444120359
24,Water,X,18894.6,0.000145752978922642
24,Air,X,54060.8,0.0004170251099754
25,Truck,I,289365444.6,0.99986882808154
25,Rail,I,37961.6,0.000131171918459611
25,Truck,X,10566088.7,0.944053657322157
25,Rail,X,605130.5,0.0540669000518787
25,Water,X,21035.2,0.00187944262596461
26,Truck,I,212865429.7,0.983981333036512
26,Rail,I,3465330.4,0.0160186669634875
26,Truck,X,155711382.7,0.861605917587704
26,Rail,X,24971049.6,0.138173611528376
26,Water,X,28950.8,0.000160194972046177
26,Air,X,10893.2,6.02759118744013e-05
27,Truck,I,18760593.7,0.933553352687067
27,Rail,I,1335305.1,0.0664466473129333
27,Truck,X,47944959.8,0.716426269651491
27,Rail,X,18897892,0.282385183475255
27,Water,X,77096.2,0.00115202397083468
27,Air,X,2444.2,3.65229024194984e-05
28,Truck,I,27498485.5,0.995006788183515
28,Rail,I,137994.8,0.00499321181648446
28,Truck,X,43589249.2,0.909601366084104
28,Rail,X,4305583.9,0.0898470395592344
28,Water,X,23664.8,0.000493826684404261
28,Air,X,2768.3,5.77676722573745e-05
29,Truck,I,14579343.5,0.982983883907531
29,Rail,I,252378.3,0.0170161160924688
29,Truck,X,19806946.6,0.891645414796641
29,Rail,X,2347100,0.105658938519539
29,Water,X,561.6,2.52814366122335e-05
29,Air,X,59319.3,0.00267036524720809
30,Truck,I,12852047.9,0.984678431594226
30,Rail,I,199977.5,0.015321568405774
30,Truck,X,25371353.6,0.8793976439896
30,Rail,X,3386235.9,0.117370476932417
30,Water,X,2244.8,7.78071151563571e-05
30,Air,X,90997.6,0.00315407196282614
31,Truck,I,714860320,0.985023172506811
31,Rail,I,10041562.7,0.0138365099739765
31,Water,I,827562,0.00114031751921282
31,Truck,X,228864111.3,0.827860931697963
31,Rail,X,40564538.1,0.146732469825047
31,Water,X,7013782.6,0.0253706733003313
31,Air,X,9931.6,3.59251766585366e-05
32,Truck,I,79126887.1,0.917186085303182
32,Rail,I,7144194.1,0.0828107317168186
32,Air,I,274.6,3.18297999902304e-06
32,Truck,X,177900746.5,0.789758309214516
32,Rail,X,43151877.3,0.19156498399449
32,Water,X,4181033,0.0185609426481529
32,Air,X,26077,0.000115764142841227
33,Truck,I,37712788.9,0.970310007099077
33,Rail,I,1153953.1,0.0296899877551353
33,Water,I,0.2,5.14578759832359e-09
33,Truck,X,67606090.1,0.893702782885973
33,Rail,X,7927637.1,0.104797531220935
33,Water,X,67020.5,0.000885961712499765
33,Air,X,46426.5,0.000613724180592062
34,Truck,I,42535927.7,0.991026618021628
34,Rail,I,384869.8,0.00896691895290814
34,Water,I,277.4,6.46302546351186e-06
34,Truck,X,40101449,0.925834966589959
34,Rail,X,3107661.1,0.0717475647997511
34,Water,X,10603.9,0.000244815627540622
34,Air,X,94105.9,0.00217265298274928
35,Truck,I,19369130.5,0.979414067572967
35,Rail,I,406122.7,0.0205358875320044
35,Air,I,989.7,5.00448950290755e-05
35,Truck,X,28737731,0.88033637239191
35,Rail,X,3638412.4,0.111457191017681
35,Water,X,2465.3,7.55206894677167e-05
35,Air,X,265425.9,0.00813091590094075
36,Truck,I,38025373.5,0.982953166757449
36,Rail,I,658750.8,0.0170286607431746
36,Water,I,0.6,1.55099567938358e-08
36,Air,I,702.4,1.81569894199838e-05
36,Truck,X,83564605.6,0.870099888542557
36,Rail,X,12226006,0.127300863583812
36,Water,X,8891.1,9.25768160272479e-05
36,Air,X,240741.3,0.00250667105760373
37,Truck,I,1290073.2,0.565372232008061
37,Rail,I,171511.6,0.0751646465543767
37,Water,I,820227.3,0.359463121437563
37,Truck,X,3202839.2,0.554426533973832
37,Rail,X,2171296.3,0.375861604865835
37,Water,X,316499.5,0.054787552490756
37,Air,X,86215.5,0.014924308669577
38,Truck,I,1481532,0.577850476978646
38,Rail,I,1082335.4,0.422149523021354
38,Truck,X,3454930.9,0.659373783151921
38,Rail,X,1628634,0.310824903024788
38,Air,X,156150.4,0.0298013138232911
39,Truck,I,35409023.1,0.998987631689726
39,Rail,I,35656.9,0.00100598093270744
39,Air,I,226.4,6.3873775668935e-06
39,Truck,X,26580394.8,0.960326971085819
39,Rail,X,1078110.3,0.0389512047012719
39,Water,X,1579.3,5.7058760671073e-05
39,Air,X,18399.7,0.000664765452238044
40,Truck,I,34286004.1,0.98963221113857
40,Rail,I,359194.1,0.0103677888614302
40,Truck,X,52880737,0.910288119715597
40,Rail,X,5085348.8,0.087539108943394
40,Water,X,2734.7,4.70750799291289e-05
40,Air,X,123486.6,0.00212569626108033
41,Truck,I,436419886.8,0.980382277760337
41,Rail,I,8163997.8,0.0183397663600567
41,Water,I,568885.6,0.00127795587960603
41,Truck,X,117418671.2,0.788814328236662
41,Rail,X,28162183.3,0.189192514907861
41,Water,X,3273513.5,0.0219913436771727
41,Air,X,269.9,1.8131783047386e-06
43,Truck,I,146361259.5,0.99342371917686
43,Rail,I,956638.3,0.00649316069798531
43,Water,I,12246.1,8.31201251545102e-05
43,Truck,X,229527645.4,0.974746269972701
43,Rail,X,5602868,0.0237939733779424
43,Water,X,343735.1,0.00145975664935608
99,Truck,I,453612.4,1
99,Truck,X,10519.9,0.0120152686734412
99,Rail,X,865024.4,0.987984731326559
