SCTG,Mode.Domestic,ODSegment,Tons,Target
1,Truck,I,52144216.7,0.999996312164551
1,Rail,I,192.3,3.68783544943428e-06
1,Truck,X,45609621.7,0.999197174230304
1,Rail,X,6941.3,0.000152067197380083
1,Air,X,29704.7,0.00065075857231587
2,Truck,I,555885090.1,0.924254757507421
2,Rail,I,43339944.7,0.0720601268004464
2,Water,I,2216381.2,0.00368511569213252
2,Truck,X,210215380.6,0.551057554325927
2,Rail,X,150446988.6,0.394380988474716
2,Water,X,20813901.2,0.0545614571993572
3,Truck,I,217924614.6,0.967539872920342
3,Rail,I,6058741.2,0.0268995482748246
3,Water,I,1252441.4,0.00556057880483307
3,Truck,X,170693208.6,0.796270923763526
3,Rail,X,31404313.6,0.146498750627103
3,Water,X,12249914.2,0.0571449243708102
3,Air,X,18307.1,8.54012385612349e-05
4,Truck,I,164795144.8,0.989773477461963
4,Rail,I,1700244.2,0.0102118094341365
4,Water,I,2449.7,1.47131039004892e-05
4,Truck,X,107810410.7,0.824573075379202
4,Rail,X,21869394.6,0.167265052093928
4,Water,X,755500.7,0.00577834303389904
4,Air,X,311639.2,0.00238352949297052
5,Truck,I,26088080.6,0.984642232889935
5,Rail,I,379888.2,0.0143381175193294
5,Water,I,24594.3,0.000928262482766361
5,Air,I,2421.3,9.13871079690086e-05
5,Truck,X,60246492.7,0.991746749597434
5,Rail,X,377010,0.00620614454566795
5,Water,X,85219.4,0.0014028378942073
5,Air,X,39137.9,0.000644267962690373
6,Truck,I,37105091.2,0.912934673689876
6,Rail,I,3536429.4,0.0870104052005749
6,Air,I,2232.2,5.49211095487226e-05
6,Truck,X,58291547.3,0.780010431576452
6,Rail,X,15398195.8,0.206046226387556
6,Water,X,1040333.7,0.0139209057900669
6,Air,X,1676.7,2.24362459259035e-05
7,Truck,I,270643505.8,0.980708810373437
7,Rail,I,5230177.7,0.0189521685918417
7,Water,I,89048.5,0.000322677790632355
7,Air,I,4510.2,1.63432440895697e-05
7,Truck,X,306204569.2,0.844516511658668
7,Rail,X,55595550.5,0.153333310781972
7,Water,X,767119.6,0.00211572665394763
7,Air,X,12491.2,3.4450905412651e-05
8,Truck,I,55502282.3,0.996325462247238
8,Rail,I,204575.1,0.00367234233666414
8,Water,I,122.3,2.19541609792211e-06
8,Truck,X,35439788.4,0.772258970756167
8,Rail,X,10430385.2,0.227285740203301
8,Water,X,19818,0.000431848748917635
8,Air,X,1075.7,2.34402916142245e-05
9,Truck,I,1811313.8,0.999039852412608
9,Rail,I,1740.8,0.000960147587392018
9,Truck,X,872668.6,0.95042733739533
9,Rail,X,45516.9,0.0495726626046698
10,Truck,I,17761911.1,0.999976348825204
10,Rail,I,420.1,2.36511747962452e-05
10,Truck,X,15475642.7,0.962092404332634
10,Rail,X,609758.9,0.0379075956673659
11,Truck,I,444346729.4,0.990022261632649
11,Rail,I,3944163.1,0.00878775292840052
11,Water,I,534095.2,0.00118998543895019
11,Truck,X,91190789.5,0.799995767840585
11,Rail,X,21206861.3,0.186042903918299
11,Water,X,1591439.1,0.0139613282411162
12,Truck,I,1484761832.4,0.963054273456903
12,Rail,I,45887759.2,0.0297639672791749
12,Water,I,10630358.7,0.0068951209217619
12,Pipeline,I,441916.6,0.000286638342159977
12,Truck,X,172092981.2,0.613976603050289
12,Rail,X,68891357.6,0.245783886267935
12,Water,X,39308070.3,0.140239510681775
13,Truck,I,89124603.4,0.977687460299473
13,Rail,I,977014.7,0.0107177477854364
13,Water,I,1056964.8,0.0115947919150902
13,Truck,X,39158695.7,0.546660290723877
13,Rail,X,21802804.3,0.304369875558286
13,Water,X,8075839.3,0.112739726915299
13,Pipeline,X,2595256.6,0.0362301068025374
14,Truck,I,4579950,0.214821536373684
14,Rail,I,16739839.8,0.785178463626316
14,Truck,X,4430597.3,0.0768372681087694
14,Rail,X,46581429.5,0.807834597692108
14,Water,X,6649184,0.115312924898984
14,Air,X,877,1.52093001391462e-05
15,Truck,I,161303978,0.604747760351096
15,Rail,I,88331279,0.331164449919504
15,Water,I,17094094.6,0.0640877897294
15,Truck,X,38091400.3,0.0563902581438237
15,Rail,X,595763639.6,0.88196456851569
15,Water,X,41641075.1,0.0616451733404862
16,Truck,I,8683823.7,0.0727626321508276
16,Rail,I,608492.4,0.00509861901822975
16,Water,I,5921961.6,0.0496207118428863
16,Pipeline,I,104130273.8,0.872518036988056
16,Truck,X,14627140.9,0.0407551143059051
16,Rail,X,26814601.1,0.0747126277355917
16,Water,X,59695351.7,0.166327165281132
16,Pipeline,X,257766105.3,0.718205092677371
17,Truck,I,481622458.7,0.619213681436107
17,Rail,I,6672067.9,0.00857816252651981
17,Water,I,28318676,0.0364088328992959
17,Pipeline,I,261183660,0.335799323138077
17,Truck,X,120907469.1,0.441729145217791
17,Rail,X,25609634.7,0.0935634674150241
17,Water,X,29011681.1,0.105992666863574
17,Air,X,48.3,1.76461536022834e-07
17,Pipeline,X,98185207.2,0.358714544042075
18,Truck,I,364767852.9,0.550631476020992
18,Rail,I,6757178.5,0.0102002277383044
18,Water,I,104713738.5,0.158069522660864
18,Air,I,33557.3,5.06560692872923e-05
18,Pipeline,I,186181362.4,0.281048117510553
18,Truck,X,90142602.2,0.49993002956348
18,Rail,X,9031831.1,0.0500904508926564
18,Water,X,22752871.9,0.126187214968386
18,Pipeline,X,58383132,0.323792304575478
19,Truck,I,250053238.2,0.476750412932437
19,Rail,I,17138388,0.0326759757834495
19,Water,I,20773656.4,0.0396069626536697
19,Pipeline,I,236529781.1,0.450966648630444
19,Truck,X,134295115.9,0.069958000108708
19,Rail,X,34613014.2,0.0180308660887519
19,Water,X,33112875,0.0172494025365343
19,Pipeline,X,1717632439.7,0.894761731266006
20,Truck,I,74239972.1,0.618461621839055
20,Rail,I,10518049.5,0.0876213954335991
