SCTG,DistanceGroup,Frequency,Proportion,cumProportion
1,1,231,0.0268292682926829,0.0268292682926829
1,2,554,0.0643437862950058,0.0911730545876887
1,3,320,0.0371660859465738,0.128339140534262
1,4,139,0.016144018583043,0.144483159117305
1,5,53,0.00615563298490128,0.150638792102207
1,6,23,0.00267131242740999,0.153310104529617
1,7,25,0.00290360046457607,0.156213704994193
1,8,24,0.00278745644599303,0.159001161440186
1,9,44,0.00511033681765389,0.16411149825784
1,10,47,0.00545876887340302,0.169570267131243
1,11,49,0.00569105691056911,0.175261324041812
1,12,44,0.00511033681765389,0.180371660859466
1,13,44,0.00511033681765389,0.18548199767712
1,14,65,0.00754936120789779,0.193031358885017
1,15,146,0.0169570267131243,0.209988385598142
1,16,181,0.0210220673635308,0.231010452961672
1,17,176,0.0204413472706156,0.251451800232288
1,18,149,0.0173054587688734,0.268757259001161
1,19,151,0.0175377468060395,0.286295005807201
1,20,123,0.0142857142857143,0.300580720092915
1,21,143,0.0166085946573751,0.31718931475029
1,22,172,0.0199767711962834,0.337166085946574
1,23,130,0.0150987224157956,0.352264808362369
1,24,136,0.0157955865272938,0.368060394889663
1,25,128,0.0148664343786295,0.382926829268293
1,26,75,0.00871080139372822,0.391637630662021
1,27,73,0.00847851335656214,0.400116144018583
1,28,51,0.00592334494773519,0.406039488966318
1,29,45,0.00522648083623693,0.411265969802555
1,30,40,0.00464576074332172,0.415911730545877
1,31,45,0.00522648083623693,0.421138211382114
1,32,35,0.0040650406504065,0.42520325203252
1,33,48,0.00557491289198606,0.430778164924506
1,34,41,0.00476190476190476,0.435540069686411
1,35,48,0.00557491289198606,0.441114982578397
1,36,29,0.00336817653890825,0.444483159117305
1,37,56,0.00650406504065041,0.450987224157956
1,38,96,0.0111498257839721,0.462137049941928
1,39,78,0.00905923344947735,0.471196283391405
1,40,105,0.0121951219512195,0.483391405342625
1,41,93,0.010801393728223,0.494192799070848
1,42,121,0.0140534262485482,0.508246225319396
1,43,61,0.00708478513356562,0.515331010452962
1,44,31,0.00360046457607433,0.518931475029036
1,45,36,0.00418118466898955,0.523112659698026
1,46,21,0.0024390243902439,0.52555168408827
1,47,31,0.00360046457607433,0.529152148664344
1,48,30,0.00348432055749129,0.532636469221835
1,49,14,0.0016260162601626,0.534262485481998
1,50,6,0.000696864111498258,0.534959349593496
1,51,6,0.000696864111498258,0.535656213704994
1,52,7,0.000813008130081301,0.536469221835076
1,53,15,0.00174216027874564,0.538211382113821
1,54,20,0.00232288037166086,0.540534262485482
1,55,49,0.00569105691056911,0.546225319396051
1,56,55,0.00638792102206736,0.552613240418118
1,57,68,0.00789779326364692,0.560511033681765
1,58,70,0.00813008130081301,0.568641114982578
1,59,86,0.0099883855981417,0.57862950058072
1,60,77,0.00894308943089431,0.587572590011614
1,61,71,0.00824622531939605,0.59581881533101
1,62,113,0.0131242740998839,0.608943089430894
1,63,111,0.0128919860627178,0.621835075493612
1,64,142,0.0164924506387921,0.638327526132404
1,65,97,0.0112659698025552,0.649593495934959
1,66,108,0.0125435540069686,0.662137049941928
1,67,120,0.0139372822299652,0.676074332171893
1,68,89,0.0103368176538908,0.686411149825784
1,69,108,0.0125435540069686,0.698954703832753
1,70,104,0.0120789779326365,0.711033681765389
1,71,131,0.0152148664343786,0.726248548199768
1,72,136,0.0157955865272938,0.742044134727062
1,73,86,0.0099883855981417,0.752032520325203
1,74,97,0.0112659698025552,0.763298490127759
1,75,132,0.0153310104529617,0.77862950058072
1,76,144,0.0167247386759582,0.795354239256678
1,77,152,0.0176538908246225,0.813008130081301
1,78,153,0.0177700348432056,0.830778164924506
1,79,134,0.0155632984901278,0.846341463414634
1,80,108,0.0125435540069686,0.858885017421603
1,81,80,0.00929152148664344,0.868176538908246
1,82,75,0.00871080139372822,0.876887340301975
1,83,71,0.00824622531939605,0.88513356562137
1,84,40,0.00464576074332172,0.889779326364692
1,85,44,0.00511033681765389,0.894889663182346
1,86,38,0.00441347270615563,0.899303135888502
1,87,33,0.00383275261324042,0.903135888501742
1,88,32,0.00371660859465738,0.9068524970964
1,89,14,0.0016260162601626,0.908478513356562
1,90,17,0.00197444831591173,0.910452961672474
1,91,28,0.0032520325203252,0.913704994192799
1,92,8,0.000929152148664344,0.914634146341463
1,93,4,0.000464576074332172,0.915098722415796
1,94,13,0.00150987224157956,0.916608594657375
1,95,16,0.00185830429732869,0.918466898954704
1,96,17,0.00197444831591173,0.920441347270616
1,97,22,0.00255516840882695,0.922996515679442
1,98,11,0.00127758420441347,0.924274099883856
1,99,22,0.00255516840882695,0.926829268292683
1,100,21,0.0024390243902439,0.929268292682927
1,101,20,0.00232288037166086,0.931591173054588
1,102,18,0.00209059233449477,0.933681765389082
1,103,29,0.00336817653890825,0.937049941927991
1,104,41,0.00476190476190476,0.941811846689895
1,105,48,0.00557491289198606,0.947386759581881
1,106,69,0.00801393728222997,0.955400696864112
1,107,73,0.00847851335656214,0.963879210220674
1,108,61,0.00708478513356562,0.970963995354239
1,109,60,0.00696864111498258,0.977932636469222
1,110,35,0.0040650406504065,0.981997677119628
1,111,24,0.00278745644599303,0.984785133565621
1,112,26,0.00301974448315912,0.987804878048781
1,113,12,0.00139372822299652,0.989198606271777
1,114,13,0.00150987224157956,0.990708478513356
1,115,23,0.00267131242740999,0.993379790940767
1,116,11,0.00127758420441347,0.99465737514518
1,117,3,0.000348432055749129,0.995005807200929
1,119,3,0.000348432055749129,0.995354239256678
1,120,3,0.000348432055749129,0.995702671312427
1,121,2,0.000232288037166086,0.995934959349593
