SCTG,Mode.Domestic,Tons,Target
37,Rail,2000347,0.533144536957405
37,Water,231987.1,0.0618305998957137
37,Air,64421.2,0.0171699264398829
38,Truck,1624238.4,0.584829762284672
38,Rail,808070.1,0.290956946032277
38,Water,130657.7,0.047045133049226
38,Air,214317.9,0.077168158633825
39,Truck,10676611.4,0.742202872262125
39,Rail,3253123.4,0.226146428004594
39,Water,407352.7,0.0283178185134407
39,Air,47943.6,0.0033328812198397
40,Truck,5746785.4,0.665296500625057
40,Rail,2497751.9,0.289160893061987
40,Water,311658.6,0.0360802364343907
40,Air,81735.3,0.00946236987856537
41,Truck,33969212.3,0.660677991690404
41,Rail,11718315,0.227913227772889
41,Water,5716936.9,0.111190520296897
41,Air,11222,0.00021826023980985
43,Truck,1376948,0.586208791786568
43,Rail,461882.6,0.196637520729351
43,Water,510073.1,0.21715368748408
43,Air,0,0
