Industry_NAICS6_Make,Industry_NAICS6_Use,ProVal
1111A0,1111A0,10809.7604395146
111900,1111A0,159.205045666692
1121A0,1111A0,34.7208365735573
112300,1111A0,11.0939930049709
112A00,1111A0,18.4587414539324
115000,1111A0,1230.33002268496
212310,1111A0,21.6120537241696
2123A0,1111A0,0.821941107775048
221100,1111A0,136.314762896587
221200,1111A0,18.3686925722971
221300,1111A0,478.640434480361
230301,1111A0,225.525829060529
321910,1111A0,1.87178697960597
3219A0,1111A0,6.25315262643889
327330,1111A0,0.77221515156047
327400,1111A0,0.861620362852629
331200,1111A0,1.80224281478446
332200,1111A0,35.5140228224858
332310,1111A0,16.3044791258547
332710,1111A0,1.90983067744257
332999,1111A0,2.85645831445858
333111,1111A0,192.101200239014
333914,1111A0,6.25559679893812
333920,1111A0,4.56447560972253
33399A,1111A0,0.798318923375872
335312,1111A0,2.90979785307352
335911,1111A0,180.654617620147
336310,1111A0,2.45591326318969
336320,1111A0,40.8982779293401
336360,1111A0,1.8025649615132
336390,1111A0,29.2123683314739
339990,1111A0,5.25724230203794
322291,1111A0,0.891206785400537
323110,1111A0,0.848882716680214
324110,1111A0,675.943261675099
324190,1111A0,2.58158842594674
325180,1111A0,68.1269402557186
325310,1111A0,669.057640931985
325320,1111A0,1455.22211623721
3259A0,1111A0,5.75926143688608
326190,1111A0,33.7802864396603
326210,1111A0,118.540336101431
326220,1111A0,10.3547263222188
423800,1111A0,1.13122798293941
424A00,1111A0,6.70147166953706
493000,1111A0,294.685539127492
511120,1111A0,1.55307068601035
517110,1111A0,26.9628705403817
517210,1111A0,19.5286607194844
517A00,1111A0,4.20145077295732
522A00,1111A0,15.1816737797093
52A000,1111A0,243.82296370501
523900,1111A0,2.29508011928019
5241XX,1111A0,177.418085123128
524200,1111A0,64.2520041245032
531ORE,1111A0,543.114785041012
532100,1111A0,64.4562170419038
532400,1111A0,66.6221231218661
533000,1111A0,2.99823020195974
541100,1111A0,16.0372880369741
541512,1111A0,0.899129467835438
54151A,1111A0,0.886917769613904
541200,1111A0,109.760517731344
541300,1111A0,2.6664371803583
561300,1111A0,0.846492286757515
561700,1111A0,9.84820696829856
561100,1111A0,0.842593252690997
561400,1111A0,0.847771464732232
562000,1111A0,18.866381405235
711100,1111A0,4.65379891900041
711200,1111A0,5.32322009522908
713900,1111A0,1.79386089973763
722110,1111A0,17.9104969384696
722211,1111A0,3.56411861988461
722A00,1111A0,3.7817604611905
811100,1111A0,12.2028034819054
811200,1111A0,19.3603484681751
811300,1111A0,2.25331857791371
813B00,1111A0,31.6147505519238
491000,1111A0,0.931939224185061
1111A0,1111B0,588.68049910945
1111B0,1111B0,10620.9648195581
111900,1111B0,641.393319989568
1121A0,1111B0,228.944413409761
112A00,1111B0,149.808068687624
