Country,Commodity_NAICS6,FAFZONE,ctrycod,CBPZONE,USImpVal
ALBANIA,325413,804,2,125,2096
ALBANIA,325620,804,2,125,123913
ALBANIA,326111,804,2,125,20094
ALBANIA,326121,804,2,125,4079
ALBANIA,326199,804,2,125,190417
ALBANIA,326299,804,2,125,9828
ALBANIA,327110,804,2,125,19977
ALBANIA,327120,804,2,125,22150
ALBANIA,327212,804,2,125,25994
ALBANIA,327215,804,2,125,628569
ALBANIA,327991,804,2,125,76772
ALBANIA,331110,804,2,125,65908319
ALBANIA,331315,804,2,125,6568
ALBANIA,331318,804,2,125,5950
ALBANIA,332215,804,2,125,20063.999979936
ALBANIA,332312,804,2,125,698812.999301187
ALBANIA,332321,804,2,125,2121114
ALBANIA,332510,804,2,125,31235
ALBANIA,332911,804,2,125,107534
ALBANIA,332991,804,2,125,8812
ALBANIA,332999,804,2,125,35259
ALBANIA,333111,804,2,125,59326
ALBANIA,333120,804,2,125,20624
ALBANIA,333242,804,2,125,13390
ALBANIA,333413,804,2,125,4803
ALBANIA,333515,804,2,125,2221
ALBANIA,333517,804,2,125,7954
ALBANIA,333613,804,2,125,5047
ALBANIA,333922,804,2,125,32718
ALBANIA,333995,804,2,125,19546
ALBANIA,333996,804,2,125,106449
ALBANIA,334118,804,2,125,9785
ALBANIA,334220,804,2,125,2895
ALBANIA,334290,804,2,125,13321
ALBANIA,334413,804,2,125,6475
ALBANIA,334515,804,2,125,2900
ALBANIA,335313,804,2,125,3982
ALBANIA,335931,804,2,125,12611
ALBANIA,335999,804,2,125,326653
ALBANIA,336320,804,2,125,30255
ALBANIA,336330,804,2,125,492685
ALBANIA,336360,804,2,125,530326
ALBANIA,336390,804,2,125,14642280
ALBANIA,337110,804,2,125,89660
ALBANIA,337121,804,2,125,745361
ALBANIA,337122,804,2,125,276206
ALBANIA,337124,804,2,125,13559
ALBANIA,337125,804,2,125,230716
ALBANIA,337127,804,2,125,884797
ALBANIA,337211,804,2,125,2300
