Country,Commodity_NAICS6,FAFZONE,ctrycod,CBPZONE,USExpVal
BURMA,111110,808,33,156,6930367
CURACAO,111110,803,55,178,51396
FRENCH POLYNESIA,111110,808,76,199,3368
HONG KONG,111110,807,96,219,360219
"KOREA, SOUTH",111110,807,113,236,462083112
SINT MAARTEN,111110,803,185,308,3416
ST KITTS AND NEVIS,111110,803,195,318,113883
ST LUCIA,111110,803,196,319,34704
ST VINCENT AND THE GRENADINES,111110,803,198,321,35826
TAIWAN,111110,807,205,328,1094686149
BURMA,111120,808,33,156,16006
FRENCH POLYNESIA,111120,808,76,199,4529
HONG KONG,111120,807,96,219,188257
"KOREA, SOUTH",111120,807,113,236,2556666
RUSSIA,111120,804,174,297,6240065
SINT MAARTEN,111120,803,185,308,10313
TAIWAN,111120,807,205,328,1223100
CABO VERDE,111130,805,35,158,90000
CONGO (BRAZZAVILLE),111130,805,48,171,328728
CONGO (KINSHASA),111130,805,49,172,1435299
CURACAO,111130,803,55,178,520004
FRENCH GUIANA,111130,803,75,198,1105176
FRENCH POLYNESIA,111130,808,76,199,1022643
GUADELOUPE,111130,803,88,211,3367242
HONG KONG,111130,807,96,219,831509
"KOREA, SOUTH",111130,807,113,236,5843168
MARTINIQUE,111130,803,135,258,933103
NEW CALEDONIA,111130,808,152,275,241742
REUNION,111130,805,172,295,235000
SINT MAARTEN,111130,803,185,308,317541
SOUTH SUDAN,111130,805,191,314,4092211
ST KITTS AND NEVIS,111130,803,195,318,160087
ST LUCIA,111130,803,196,319,791489
ST VINCENT AND THE GRENADINES,111130,803,198,321,27838
TAIWAN,111130,807,205,328,2414825
BURMA,111140,808,33,156,24527440
COTE D'IVOIRE,111140,805,52,175,1598720
HONG KONG,111140,807,96,219,1510020
"KOREA, SOUTH",111140,807,113,236,477510883
SINT MAARTEN,111140,803,185,308,294575
ST LUCIA,111140,803,196,319,598858
ST VINCENT AND THE GRENADINES,111140,803,198,321,8653503
TAIWAN,111140,807,205,328,364193032
COTE D'IVOIRE,111150,805,52,175,75028
CURACAO,111150,803,55,178,61201
FRENCH POLYNESIA,111150,808,76,199,1468319
HONG KONG,111150,807,96,219,10101840
"KOREA, SOUTH",111150,807,113,236,516323369
SINT MAARTEN,111150,803,185,308,51837
ST KITTS AND NEVIS,111150,803,195,318,70818
ST LUCIA,111150,803,196,319,825357
ST VINCENT AND THE GRENADINES,111150,803,198,321,2882211
TAIWAN,111150,807,205,328,268934346
CURACAO,111160,803,55,178,2503
"KOREA, SOUTH",111160,807,113,236,15478
ST VINCENT AND THE GRENADINES,111160,803,198,321,3429
CURACAO,111199,803,55,178,132669
HONG KONG,111199,807,96,219,2648269
"KOREA, SOUTH",111199,807,113,236,8550537
RUSSIA,111199,804,174,297,361320
SINT MAARTEN,111199,803,185,308,72961
SOUTH SUDAN,111199,805,191,314,13361177
ST KITTS AND NEVIS,111199,803,195,318,89057
ST LUCIA,111199,803,196,319,184911
ST VINCENT AND THE GRENADINES,111199,803,198,321,20046
TAIWAN,111199,807,205,328,1424443
COCOS (KEELING) ISLANDS,111211,808,45,168,26127
CURACAO,111211,803,55,178,25080
FRENCH POLYNESIA,111211,808,76,199,855272
GUADELOUPE,111211,803,88,211,3079
HONG KONG,111211,807,96,219,2316154
"KOREA, SOUTH",111211,807,113,236,15739434
RUSSIA,111211,804,174,297,25631
SINT MAARTEN,111211,803,185,308,284359
ST KITTS AND NEVIS,111211,803,195,318,22714
ST LUCIA,111211,803,196,319,227792
ST VINCENT AND THE GRENADINES,111211,803,198,321,210969
TAIWAN,111211,807,205,328,18513267
COTE D'IVOIRE,111219,805,52,175,80435
CURACAO,111219,803,55,178,1511613
FRENCH GUIANA,111219,803,75,198,86164
FRENCH POLYNESIA,111219,808,76,199,1036072
FRENCH SOUTHERN AND ANTARCTIC LANDS,111219,805,77,200,361153
GUADELOUPE,111219,803,88,211,48121
HONG KONG,111219,807,96,219,10601059
"KOREA, SOUTH",111219,807,113,236,15128514
KOSOVO,111219,804,114,237,5857
MAYOTTE,111219,805,138,261,21924
NEW CALEDONIA,111219,808,152,275,250689
RUSSIA,111219,804,174,297,90494
SINT MAARTEN,111219,803,185,308,1829247
ST KITTS AND NEVIS,111219,803,195,318,99260
ST LUCIA,111219,803,196,319,1863193
ST VINCENT AND THE GRENADINES,111219,803,198,321,477993
TAIWAN,111219,807,205,328,35151646
BURMA,111310,808,33,156,43722
CURACAO,111310,803,55,178,6269
FRENCH POLYNESIA,111310,808,76,199,554938
FRENCH SOUTHERN AND ANTARCTIC LANDS,111310,805,77,200,118598
HONG KONG,111310,807,96,219,44196322
"KOREA, SOUTH",111310,807,113,236,134096767
SINT MAARTEN,111310,803,185,308,203969
ST KITTS AND NEVIS,111310,803,195,318,22987
ST LUCIA,111310,803,196,319,2843
TAIWAN,111310,807,205,328,11416685
CURACAO,111320,803,55,178,156811
FRENCH POLYNESIA,111320,808,76,199,130374
FRENCH SOUTHERN AND ANTARCTIC LANDS,111320,805,77,200,5948
HONG KONG,111320,807,96,219,2253500
"KOREA, SOUTH",111320,807,113,236,56299735
SINT MAARTEN,111320,803,185,308,15752
ST KITTS AND NEVIS,111320,803,195,318,5937
ST LUCIA,111320,803,196,319,22653
TAIWAN,111320,807,205,328,3014319
BURMA,111331,808,33,156,77122
CURACAO,111331,803,55,178,266724
FRENCH POLYNESIA,111331,808,76,199,217944
HONG KONG,111331,807,96,219,22065274
"KOREA, SOUTH",111331,807,113,236,221500
SINT MAARTEN,111331,803,185,308,248774
ST KITTS AND NEVIS,111331,803,195,318,20469
ST LUCIA,111331,803,196,319,405122
ST VINCENT AND THE GRENADINES,111331,803,198,321,318744
TAIWAN,111331,807,205,328,65578651
BURMA,111332,808,33,156,34050
CURACAO,111332,803,55,178,592380
FRENCH POLYNESIA,111332,808,76,199,504583
HONG KONG,111332,807,96,219,14998731
"KOREA, SOUTH",111332,807,113,236,23881846
NEW CALEDONIA,111332,808,152,275,150000
SINT MAARTEN,111332,803,185,308,205224
ST KITTS AND NEVIS,111332,803,195,318,147211
ST LUCIA,111332,803,196,319,378606
ST VINCENT AND THE GRENADINES,111332,803,198,321,253755
TAIWAN,111332,807,205,328,37156012
CURACAO,111333,803,55,178,29509
FRENCH SOUTHERN AND ANTARCTIC LANDS,111333,805,77,200,5958
HONG KONG,111333,807,96,219,4726100
SINT MAARTEN,111333,803,185,308,24758
ST KITTS AND NEVIS,111333,803,195,318,6632
ST LUCIA,111333,803,196,319,31853
TAIWAN,111333,807,205,328,948510
CURACAO,111334,803,55,178,11578
FRENCH POLYNESIA,111334,808,76,199,3406
FRENCH SOUTHERN AND ANTARCTIC LANDS,111334,805,77,200,21030
HONG KONG,111334,807,96,219,908097
"KOREA, SOUTH",111334,807,113,236,4741815
ST LUCIA,111334,803,196,319,13724
TAIWAN,111334,807,205,328,2200411
BRITISH INDIAN OCEAN TERRITORIES,111335,806,28,151,74224
BURMA,111335,808,33,156,100485
COTE D'IVOIRE,111335,805,52,175,50000
CURACAO,111335,803,55,178,53789
ESWATINI,111335,805,68,191,477017
FRENCH POLYNESIA,111335,808,76,199,296582
HONG KONG,111335,807,96,219,118760399
"KOREA, SOUTH",111335,807,113,236,245008863
MACEDONIA,111335,804,127,250,206800
NEW CALEDONIA,111335,808,152,275,75600
RUSSIA,111335,804,174,297,1251167
SINT MAARTEN,111335,803,185,308,108454
ST KITTS AND NEVIS,111335,803,195,318,18694
ST LUCIA,111335,803,196,319,126840
TAIWAN,111335,807,205,328,63711030
WEST BANK ADMINISTERED BY ISRAEL,111335,806,230,353,82500
CURACAO,111339,803,55,178,1315779
FRENCH POLYNESIA,111339,808,76,199,276832
FRENCH SOUTHERN AND ANTARCTIC LANDS,111339,805,77,200,143831
HONG KONG,111339,807,96,219,17480652
"KOREA, SOUTH",111339,807,113,236,71612940
REUNION,111339,805,172,295,214845
SINT MAARTEN,111339,803,185,308,147357
ST LUCIA,111339,803,196,319,225633
ST VINCENT AND THE GRENADINES,111339,803,198,321,19336
TAIWAN,111339,807,205,328,65562942
FRENCH POLYNESIA,111411,808,76,199,18285
HONG KONG,111411,807,96,219,9580
"KOREA, SOUTH",111411,807,113,236,128728
SINT MAARTEN,111411,803,185,308,18156
ST LUCIA,111411,803,196,319,51256
CURACAO,111421,803,55,178,471855
FRENCH POLYNESIA,111421,808,76,199,23714
FRENCH SOUTHERN AND ANTARCTIC LANDS,111421,805,77,200,25000
GUADELOUPE,111421,803,88,211,158251
HONG KONG,111421,807,96,219,1085085
"KOREA, SOUTH",111421,807,113,236,1984115
REUNION,111421,805,172,295,13322
RUSSIA,111421,804,174,297,11379
SINT MAARTEN,111421,803,185,308,1654955
ST KITTS AND NEVIS,111421,803,195,318,234522
ST LUCIA,111421,803,196,319,12997
ST VINCENT AND THE GRENADINES,111421,803,198,321,13192
TAIWAN,111421,807,205,328,1833518
GUADELOUPE,111422,803,88,211,36450
HONG KONG,111422,807,96,219,85964
"KOREA, SOUTH",111422,807,113,236,2500614
KOSOVO,111422,804,114,237,55935
MACAU,111422,807,126,249,5400
SINT MAARTEN,111422,803,185,308,41930
TAIWAN,111422,807,205,328,170395
FRENCH POLYNESIA,111910,808,76,199,13892
GUADELOUPE,111910,803,88,211,23917
HONG KONG,111910,807,96,219,7872260
"KOREA, SOUTH",111910,807,113,236,24063108
MACAU,111910,807,126,249,627057
RUSSIA,111910,804,174,297,3776794
SINT MAARTEN,111910,803,185,308,77372
ST KITTS AND NEVIS,111910,803,195,318,12600
ST VINCENT AND THE GRENADINES,111910,803,198,321,42247
TAIWAN,111910,807,205,328,3342808
CURACAO,111920,803,55,178,51706
HONG KONG,111920,807,96,219,21162357
"KOREA, SOUTH",111920,807,113,236,130763336
MACAU,111920,807,126,249,24936951
TAIWAN,111920,807,205,328,82940184
BRUNEI,111940,808,30,153,115277
FRENCH POLYNESIA,111940,808,76,199,40217
HONG KONG,111940,807,96,219,2154194
"KOREA, SOUTH",111940,807,113,236,185758294
MACAU,111940,807,126,249,157431
SINT MAARTEN,111940,803,185,308,80027
ST LUCIA,111940,803,196,319,44251
TAIWAN,111940,807,205,328,66412969
CURACAO,111991,803,55,178,3840
"KOREA, SOUTH",111991,807,113,236,41574
TAIWAN,111991,807,205,328,6006
BURMA,111992,808,33,156,20020
CURACAO,111992,803,55,178,66414
GUADELOUPE,111992,803,88,211,51508
HONG KONG,111992,807,96,219,1017787
"KOREA, SOUTH",111992,807,113,236,1923577
MACEDONIA,111992,804,127,250,96240
SINT MAARTEN,111992,803,185,308,7562
ST KITTS AND NEVIS,111992,803,195,318,127879
ST LUCIA,111992,803,196,319,14022
TAIWAN,111992,807,205,328,347498
BRUNEI,111998,808,30,153,3371
CONGO (KINSHASA),111998,805,49,172,15000
CURACAO,111998,803,55,178,6336
FRENCH POLYNESIA,111998,808,76,199,41046
GUADELOUPE,111998,803,88,211,5889
HONG KONG,111998,807,96,219,4419732
"KOREA, SOUTH",111998,807,113,236,172897183
MACAU,111998,807,126,249,8653
RUSSIA,111998,804,174,297,1877250
SINT MAARTEN,111998,803,185,308,21094
ST KITTS AND NEVIS,111998,803,195,318,23284
ST LUCIA,111998,803,196,319,357894
ST VINCENT AND THE GRENADINES,111998,803,198,321,15039
TAIWAN,111998,807,205,328,4379437
HONG KONG,112111,807,96,219,26522.622723424
"KOREA, SOUTH",112111,807,113,236,183782.712338246
RUSSIA,112111,804,174,297,4491317.72468974
HONG KONG,112112,807,96,219,944.176623648695
"KOREA, SOUTH",112112,807,113,236,6542.46537493721
RUSSIA,112112,804,174,297,159886.043294124
HONG KONG,112120,807,96,219,4533.20065292726
"KOREA, SOUTH",112120,807,113,236,31411.8222868166
RUSSIA,112120,804,174,297,767648.232016131
HONG KONG,112130,807,96,219,0
"KOREA, SOUTH",112130,807,113,236,0
RUSSIA,112130,804,174,297,0
HONG KONG,112210,807,96,219,446698
"KOREA, SOUTH",112210,807,113,236,140761
TAIWAN,112210,807,205,328,282687
BURMA,112310,808,33,156,1572905
CURACAO,112310,803,55,178,90886
FRENCH POLYNESIA,112310,808,76,199,11178
FRENCH SOUTHERN AND ANTARCTIC LANDS,112310,805,77,200,102573
GUADELOUPE,112310,803,88,211,3425
HONG KONG,112310,807,96,219,18362359
"KOREA, SOUTH",112310,807,113,236,8954548
RUSSIA,112310,804,174,297,2965419
SINT MAARTEN,112310,803,185,308,2070455
ST KITTS AND NEVIS,112310,803,195,318,144040
ST LUCIA,112310,803,196,319,1066006
ST VINCENT AND THE GRENADINES,112310,803,198,321,169364
TAIWAN,112310,807,205,328,5202392
BURMA,112320,808,33,156,0
CURACAO,112320,803,55,178,0
FRENCH POLYNESIA,112320,808,76,199,0
FRENCH SOUTHERN AND ANTARCTIC LANDS,112320,805,77,200,0
GUADELOUPE,112320,803,88,211,0
HONG KONG,112320,807,96,219,0
"KOREA, SOUTH",112320,807,113,236,0
RUSSIA,112320,804,174,297,0
SINT MAARTEN,112320,803,185,308,0
ST KITTS AND NEVIS,112320,803,195,318,0
ST LUCIA,112320,803,196,319,0
ST VINCENT AND THE GRENADINES,112320,803,198,321,0
TAIWAN,112320,807,205,328,0
BURMA,112330,808,33,156,0
CURACAO,112330,803,55,178,0
FRENCH POLYNESIA,112330,808,76,199,0
FRENCH SOUTHERN AND ANTARCTIC LANDS,112330,805,77,200,0
GUADELOUPE,112330,803,88,211,0
HONG KONG,112330,807,96,219,0
"KOREA, SOUTH",112330,807,113,236,0
RUSSIA,112330,804,174,297,0
SINT MAARTEN,112330,803,185,308,0
ST KITTS AND NEVIS,112330,803,195,318,0
ST LUCIA,112330,803,196,319,0
ST VINCENT AND THE GRENADINES,112330,803,198,321,0
TAIWAN,112330,807,205,328,0
BURMA,112340,808,33,156,0
CURACAO,112340,803,55,178,0
FRENCH POLYNESIA,112340,808,76,199,0
FRENCH SOUTHERN AND ANTARCTIC LANDS,112340,805,77,200,0
GUADELOUPE,112340,803,88,211,0
HONG KONG,112340,807,96,219,0
"KOREA, SOUTH",112340,807,113,236,0
RUSSIA,112340,804,174,297,0
SINT MAARTEN,112340,803,185,308,0
ST KITTS AND NEVIS,112340,803,195,318,0
ST LUCIA,112340,803,196,319,0
ST VINCENT AND THE GRENADINES,112340,803,198,321,0
TAIWAN,112340,807,205,328,0
BURMA,112390,808,33,156,0
CURACAO,112390,803,55,178,0
FRENCH POLYNESIA,112390,808,76,199,0
FRENCH SOUTHERN AND ANTARCTIC LANDS,112390,805,77,200,0
GUADELOUPE,112390,803,88,211,0
HONG KONG,112390,807,96,219,0
"KOREA, SOUTH",112390,807,113,236,0
RUSSIA,112390,804,174,297,0
SINT MAARTEN,112390,803,185,308,0
ST KITTS AND NEVIS,112390,803,195,318,0
ST LUCIA,112390,803,196,319,0
ST VINCENT AND THE GRENADINES,112390,803,198,321,0
TAIWAN,112390,807,205,328,0
"KOREA, SOUTH",112410,807,113,236,7500
ST KITTS AND NEVIS,112420,803,195,318,12765
CURACAO,112511,803,55,178,63730
HONG KONG,112511,807,96,219,15886520
"KOREA, SOUTH",112511,807,113,236,8502628
RUSSIA,112511,804,174,297,15198
SINT MAARTEN,112511,803,185,308,17156
TAIWAN,112511,807,205,328,335336
BRITISH INDIAN OCEAN TERRITORIES,112910,806,28,151,21030
CURACAO,112910,803,55,178,33262
HONG KONG,112910,807,96,219,592191
"KOREA, SOUTH",112910,807,113,236,3123128
SINT MAARTEN,112910,803,185,308,45872
ST KITTS AND NEVIS,112910,803,195,318,6540
ST LUCIA,112910,803,196,319,2625
ST VINCENT AND THE GRENADINES,112910,803,198,321,3340
TAIWAN,112910,807,205,328,894899
HONG KONG,112920,807,96,219,199342
"KOREA, SOUTH",112920,807,113,236,4919203
MARTINIQUE,112920,803,135,258,10404
RUSSIA,112920,804,174,297,770400
TAIWAN,112920,807,205,328,518044
HONG KONG,112930,807,96,219,78000
"KOREA, SOUTH",112930,807,113,236,5068501
TAIWAN,112930,807,205,328,71789
HONG KONG,112990,807,96,219,3709907
"KOREA, SOUTH",112990,807,113,236,5760933
MACAU,112990,807,126,249,32800
RUSSIA,112990,804,174,297,22956
ST KITTS AND NEVIS,112990,803,195,318,2822
ST LUCIA,112990,803,196,319,3785
TAIWAN,112990,807,205,328,2033237
CONGO (BRAZZAVILLE),113210,805,48,171,2513
CURACAO,113210,803,55,178,47163
ESWATINI,113210,805,68,191,1755104
FRENCH POLYNESIA,113210,808,76,199,3127
GUADELOUPE,113210,803,88,211,77231
HONG KONG,113210,807,96,219,17360603
"KOREA, SOUTH",113210,807,113,236,28223101
RUSSIA,113210,804,174,297,116222
SINT MAARTEN,113210,803,185,308,22605
ST KITTS AND NEVIS,113210,803,195,318,3289
TAIWAN,113210,807,205,328,5566757
CURACAO,113310,803,55,178,47468
FRENCH POLYNESIA,113310,808,76,199,4169324
HONG KONG,113310,807,96,219,3173000
"KOREA, SOUTH",113310,807,113,236,49249973
ST KITTS AND NEVIS,113310,803,195,318,4326
ST LUCIA,113310,803,196,319,149940
TAIWAN,113310,807,205,328,7064765
BURMA,114111,808,33,156,489280
CONGO (BRAZZAVILLE),114111,805,48,171,831820
COTE D'IVOIRE,114111,805,52,175,2659946
CURACAO,114111,803,55,178,1575068
ESWATINI,114111,805,68,191,120000
FRENCH POLYNESIA,114111,808,76,199,756144
GUADELOUPE,114111,803,88,211,101337
HONG KONG,114111,807,96,219,15674549
"KOREA, SOUTH",114111,807,113,236,426010518
NEW CALEDONIA,114111,808,152,275,19932
RUSSIA,114111,804,174,297,10290219
SINT MAARTEN,114111,803,185,308,3134668
ST KITTS AND NEVIS,114111,803,195,318,1325486
ST LUCIA,114111,803,196,319,746735
ST VINCENT AND THE GRENADINES,114111,803,198,321,26216
TAIWAN,114111,807,205,328,18176408
CONGO (BRAZZAVILLE),114112,805,48,171,26400
CURACAO,114112,803,55,178,941314
ESWATINI,114112,805,68,191,602158
FRENCH POLYNESIA,114112,808,76,199,408491
GUADELOUPE,114112,803,88,211,75857
HONG KONG,114112,807,96,219,84746529
"KOREA, SOUTH",114112,807,113,236,13689140
MACAU,114112,807,126,249,16120
MARTINIQUE,114112,803,135,258,753169
REUNION,114112,805,172,295,27000
SINT MAARTEN,114112,803,185,308,2440061
ST KITTS AND NEVIS,114112,803,195,318,628124
ST LUCIA,114112,803,196,319,1078321
ST VINCENT AND THE GRENADINES,114112,803,198,321,98949
TAIWAN,114112,807,205,328,14529074
WEST BANK ADMINISTERED BY ISRAEL,114112,806,230,353,102003
CURACAO,114119,803,55,178,54671
FRENCH POLYNESIA,114119,808,76,199,124572
HONG KONG,114119,807,96,219,1060815
"KOREA, SOUTH",114119,807,113,236,962182
MACEDONIA,114119,804,127,250,6357
TAIWAN,114119,807,205,328,2160782
"KOREA, SOUTH",211120,807,113,236,12642076453.3579
MARTINIQUE,211120,803,135,258,55587056.9444129
TAIWAN,211120,807,205,328,5962192709.0378
CABO VERDE,211130,805,35,158,3076788.99692321
COTE D'IVOIRE,211130,805,52,175,190752903.809247
CURACAO,211130,803,55,178,34144.999965855
FRENCH POLYNESIA,211130,808,76,199,62093.999937906
HONG KONG,211130,807,96,219,25968.999974031
"KOREA, SOUTH",211130,807,113,236,6423945812.57605
RUSSIA,211130,804,174,297,9816.999990183
SINT MAARTEN,211130,803,185,308,2241765.99775823
ST KITTS AND NEVIS,211130,803,195,318,3035.999996964
TAIWAN,211130,807,205,328,1160529069.83947
"KOREA, SOUTH",212111,807,113,236,70759
TAIWAN,212111,807,205,328,6895
"KOREA, SOUTH",212112,807,113,236,625567502
TAIWAN,212112,807,205,328,125309
HONG KONG,212113,807,96,219,27750
ST VINCENT AND THE GRENADINES,212113,803,198,321,14994
"KOREA, SOUTH",212210,807,113,236,28476
HONG KONG,212221,807,96,219,97378
"KOREA, SOUTH",212221,807,113,236,12805042
TAIWAN,212221,807,205,328,86241033
HONG KONG,212222,807,96,219,11663
"KOREA, SOUTH",212222,807,113,236,8600
MACAU,212222,807,126,249,2565
BURMA,212230,808,33,156,4500
CURACAO,212230,803,55,178,52534
HONG KONG,212230,807,96,219,197738
"KOREA, SOUTH",212230,807,113,236,451603527
TAIWAN,212230,807,205,328,5592
HONG KONG,212299,807,96,219,12000
"KOREA, SOUTH",212299,807,113,236,18814864
RUSSIA,212299,804,174,297,11065
TAIWAN,212299,807,205,328,296289
CURACAO,212311,803,55,178,357901
GUADELOUPE,212311,803,88,211,34748
"KOREA, SOUTH",212311,807,113,236,570016
RUSSIA,212311,804,174,297,23485
SINT MAARTEN,212311,803,185,308,10219
ST KITTS AND NEVIS,212311,803,195,318,7955
ST LUCIA,212311,803,196,319,68548
ST VINCENT AND THE GRENADINES,212311,803,198,321,14428
TAIWAN,212311,807,205,328,1021032
"KOREA, SOUTH",212312,807,113,236,138243
CONGO (KINSHASA),212319,805,49,172,13197
FRENCH POLYNESIA,212319,808,76,199,6930
HONG KONG,212319,807,96,219,53661
"KOREA, SOUTH",212319,807,113,236,327329
ST KITTS AND NEVIS,212319,803,195,318,10012
TAIWAN,212319,807,205,328,49093
CURACAO,212321,803,55,178,3200
SINT MAARTEN,212321,803,185,308,14164
ST VINCENT AND THE GRENADINES,212321,803,198,321,12669
BRITISH INDIAN OCEAN TERRITORIES,212322,806,28,151,3020
BURMA,212322,808,33,156,4953
COTE D'IVOIRE,212322,805,52,175,83373
CURACAO,212322,803,55,178,278091
HONG KONG,212322,807,96,219,576270
"KOREA, SOUTH",212322,807,113,236,1628332
RUSSIA,212322,804,174,297,31885
SINT MAARTEN,212322,803,185,308,78375
ST HELENA,212322,805,194,317,195547
ST KITTS AND NEVIS,212322,803,195,318,9590
ST LUCIA,212322,803,196,319,239847
ST VINCENT AND THE GRENADINES,212322,803,198,321,25604
TAIWAN,212322,807,205,328,784862
CURACAO,212324,803,55,178,55026
HONG KONG,212324,807,96,219,351737
"KOREA, SOUTH",212324,807,113,236,27963605
RUSSIA,212324,804,174,297,288617
ST LUCIA,212324,803,196,319,88959
TAIWAN,212324,807,205,328,30789674
BRUNEI,212325,808,30,153,42405
COTE D'IVOIRE,212325,805,52,175,2256393
CURACAO,212325,803,55,178,16286
FRENCH POLYNESIA,212325,808,76,199,13518
HONG KONG,212325,807,96,219,477010
"KOREA, SOUTH",212325,807,113,236,16959325
RUSSIA,212325,804,174,297,403957
SINT MAARTEN,212325,803,185,308,32184
TAIWAN,212325,807,205,328,15424564
"KOREA, SOUTH",212391,807,113,236,4337
TAIWAN,212391,807,205,328,8065
CURACAO,212392,803,55,178,3458
"KOREA, SOUTH",212392,807,113,236,147280
TAIWAN,212392,807,205,328,26400
BRITISH INDIAN OCEAN TERRITORIES,212393,806,28,151,6053
BRUNEI,212393,808,30,153,6195
CURACAO,212393,803,55,178,106226
GUADELOUPE,212393,803,88,211,46548
HONG KONG,212393,807,96,219,1428379
"KOREA, SOUTH",212393,807,113,236,2979433
MACEDONIA,212393,804,127,250,7492
MARTINIQUE,212393,803,135,258,3360
NEW CALEDONIA,212393,808,152,275,12858804
REUNION,212393,805,172,295,4520
SINT MAARTEN,212393,803,185,308,65058
ST KITTS AND NEVIS,212393,803,195,318,45480
ST LUCIA,212393,803,196,319,2870
ST VINCENT AND THE GRENADINES,212393,803,198,321,14581
TAIWAN,212393,807,205,328,1639449
BRUNEI,212399,808,30,153,7753
CONGO (BRAZZAVILLE),212399,805,48,171,5650
CURACAO,212399,803,55,178,28537
ESWATINI,212399,805,68,191,99500
FRENCH SOUTHERN AND ANTARCTIC LANDS,212399,805,77,200,6053
HONG KONG,212399,807,96,219,799342
"KOREA, SOUTH",212399,807,113,236,4383092
NEW CALEDONIA,212399,808,152,275,7655
RUSSIA,212399,804,174,297,499293
SINT MAARTEN,212399,803,185,308,92894
ST HELENA,212399,805,194,317,7056092
ST KITTS AND NEVIS,212399,803,195,318,620033
ST LUCIA,212399,803,196,319,188492
ST VINCENT AND THE GRENADINES,212399,803,198,321,206616
TAIWAN,212399,807,205,328,1150974
BRUNEI,311111,808,30,153,123142
CURACAO,311111,803,55,178,3741014
FRENCH POLYNESIA,311111,808,76,199,580931
HONG KONG,311111,807,96,219,33583513
"KOREA, SOUTH",311111,807,113,236,61840430
SINT MAARTEN,311111,803,185,308,2231792
ST KITTS AND NEVIS,311111,803,195,318,795752
ST LUCIA,311111,803,196,319,1427633
ST VINCENT AND THE GRENADINES,311111,803,198,321,304622
TAIWAN,311111,807,205,328,36867918
BRUNEI,311119,808,30,153,6283
BURMA,311119,808,33,156,600271
CONGO (BRAZZAVILLE),311119,805,48,171,4500
CURACAO,311119,803,55,178,801482
FRENCH POLYNESIA,311119,808,76,199,112426
HONG KONG,311119,807,96,219,8545036
"KOREA, SOUTH",311119,807,113,236,138931367
MACAU,311119,807,126,249,9376
NEW CALEDONIA,311119,808,152,275,25542
RUSSIA,311119,804,174,297,988552
SINT MAARTEN,311119,803,185,308,462598
ST KITTS AND NEVIS,311119,803,195,318,364001
ST LUCIA,311119,803,196,319,101448
ST VINCENT AND THE GRENADINES,311119,803,198,321,46372
TAIWAN,311119,807,205,328,36224400
BRUNEI,311211,808,30,153,3838
CONGO (KINSHASA),311211,805,49,172,33052548
CURACAO,311211,803,55,178,546478
FRENCH GUIANA,311211,803,75,198,50721
FRENCH POLYNESIA,311211,808,76,199,314273
GUADELOUPE,311211,803,88,211,44397
HONG KONG,311211,807,96,219,1095418
"KOREA, SOUTH",311211,807,113,236,22064732
MARTINIQUE,311211,803,135,258,7495
RUSSIA,311211,804,174,297,25289
SINT MAARTEN,311211,803,185,308,907753
ST KITTS AND NEVIS,311211,803,195,318,122696
ST LUCIA,311211,803,196,319,431500
ST VINCENT AND THE GRENADINES,311211,803,198,321,137256
TAIWAN,311211,807,205,328,2493980
BRITISH INDIAN OCEAN TERRITORIES,311212,806,28,151,15287
CONGO (BRAZZAVILLE),311212,805,48,171,1753244
COTE D'IVOIRE,311212,805,52,175,6967594
CURACAO,311212,803,55,178,1600236
FRENCH GUIANA,311212,803,75,198,248146
FRENCH POLYNESIA,311212,808,76,199,73350
HONG KONG,311212,807,96,219,3190034
"KOREA, SOUTH",311212,807,113,236,119170459
RUSSIA,311212,804,174,297,218155
SINT MAARTEN,311212,803,185,308,1742097
SOUTH SUDAN,311212,805,191,314,31385
ST KITTS AND NEVIS,311212,803,195,318,752792
ST LUCIA,311212,803,196,319,210651
ST VINCENT AND THE GRENADINES,311212,803,198,321,2668
TAIWAN,311212,807,205,328,42558427
CURACAO,311213,803,55,178,3036
"KOREA, SOUTH",311213,807,113,236,128467
SINT MAARTEN,311213,803,185,308,11143
ST KITTS AND NEVIS,311213,803,195,318,56870
ST LUCIA,311213,803,196,319,3960
TAIWAN,311213,807,205,328,13999
BURMA,311221,808,33,156,105560
CONGO (BRAZZAVILLE),311221,805,48,171,2700
CURACAO,311221,803,55,178,29142
ESWATINI,311221,805,68,191,1893614
FRENCH POLYNESIA,311221,808,76,199,260949
HONG KONG,311221,807,96,219,863359
"KOREA, SOUTH",311221,807,113,236,14553027
RUSSIA,311221,804,174,297,159984
SINT MAARTEN,311221,803,185,308,67001
ST KITTS AND NEVIS,311221,803,195,318,6124
ST LUCIA,311221,803,196,319,217558
ST VINCENT AND THE GRENADINES,311221,803,198,321,20918
TAIWAN,311221,807,205,328,30229163
BRITISH INDIAN OCEAN TERRITORIES,311224,806,28,151,23649
BRUNEI,311224,808,30,153,419949
BURMA,311224,808,33,156,42653553
CONGO (BRAZZAVILLE),311224,805,48,171,344010
CONGO (KINSHASA),311224,805,49,172,673664
COTE D'IVOIRE,311224,805,52,175,374785
CURACAO,311224,803,55,178,1157084
FRENCH POLYNESIA,311224,808,76,199,1130189
HONG KONG,311224,807,96,219,31507587
"KOREA, SOUTH",311224,807,113,236,247581011
MACEDONIA,311224,804,127,250,116498
